Resource,Zone,Resource_Type,Cluster,StartCapSolar,RetCapSolar,NewCapSolar,EndCapSolar,StartCapWind,RetCapWind,NewCapWind,EndCapWind,StartCapDC,RetCapDC,NewCapDC,EndCapDC,StartCapGrid,RetCapGrid,NewCapGrid,EndCapGrid,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeDCCap,RetChargeDCCap,NewChargeDCCap,EndChargeDCCap,StartChargeACCap,RetChargeACCap,NewChargeACCap,EndChargeACCap,StartDischargeDCCap,RetDischargeDCCap,NewDischargeDCCap,EndDischargeDCCap,StartDischargeACCap,RetDischargeACCap,NewDischargeACCap,EndDischargeACCap
WECC_storage_metalair_advanced_0,3,Storage_MetalAir_Advanced,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,339.6013687822034,339.6013687822034,0.0,0.0,340.3435898557759,340.3435898557759,0.0,0.0,65647.76258236248,65647.76258236248,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_0,3,LandbasedWind_Class1_Moderate_,0,0,0.0,0.0,0.0,0,0.0,109860.60873627076,109860.60873627076,0,0.0,1.2478567699945269,1.2478567699945269,0.0,0.0,87888.81008082292,87888.81008082292,0.0,0.0,90.78226211453321,90.78226211453321,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_1,3,LandbasedWind_Class1_Moderate_,1,0,0.0,0.0,0.0,0,0.0,47257.25802813788,47257.25802813788,0,0.0,1.2427725726855274,1.2427725726855274,0.0,0.0,38609.168296286,38609.168296286,0.0,0.0,90.58681583347663,90.58681583347663,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_2,3,LandbasedWind_Class1_Moderate_,2,0,0.0,0.0,0.0,0,0.0,7.960344452122163,7.960344452122163,0,0.0,1.230646904506795,1.230646904506795,0.0,0.0,4.45237984153766,4.45237984153766,0.0,0.0,88.2867534059445,88.2867534059445,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_3,3,LandbasedWind_Class1_Moderate_,3,0,0.0,0.0,0.0,0,0.0,48.71123857644274,48.71123857644274,0,0.0,1.2487290203756884,1.2487290203756884,0.0,0.0,25.438233386274234,25.438233386274234,0.0,0.0,91.57509187097294,91.57509187097294,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_4,3,LandbasedWind_Class1_Moderate_,4,0,0.0,0.0,0.0,0,0.0,1.2616083959607083,1.2616083959607083,0,0.0,1.2339846065675222,1.2339846065675222,0.0,0.0,1.03763799184986,1.03763799184986,0.0,0.0,89.62182388212095,89.62182388212095,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_5,3,LandbasedWind_Class1_Moderate_,5,0,0.0,0.0,0.0,0,0.0,0.8033098339353426,0.8033098339353426,0,0.0,1.1785142752317173,1.1785142752317173,0.0,0.0,0.633137704351708,0.633137704351708,0.0,0.0,73.09359196982984,73.09359196982984,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_6,3,LandbasedWind_Class1_Moderate_,6,0,0.0,0.0,0.0,0,0.0,0.7064424217042238,0.7064424217042238,0,0.0,1.2297540542584868,1.2297540542584868,0.0,0.0,0.8195157464645989,0.8195157464645989,0.0,0.0,88.7991072916344,88.7991072916344,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_7,3,LandbasedWind_Class1_Moderate_,7,0,0.0,0.0,0.0,0,0.0,0.45244510970302443,0.45244510970302443,0,0.0,1.1611020038188584,1.1611020038188584,0.0,0.0,0.3598282550607011,0.3598282550607011,0.0,0.0,69.59234238620279,69.59234238620279,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_8,3,LandbasedWind_Class1_Moderate_,8,0,0.0,0.0,0.0,0,0.0,0.5754974835005374,0.5754974835005374,0,0.0,1.221260091626197,1.221260091626197,0.0,0.0,0.6551090001223601,0.6551090001223601,0.0,0.0,86.78973690703829,86.78973690703829,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
WECC_landbasedwind_class1_moderate_9,3,LandbasedWind_Class1_Moderate_,9,0,0.0,0.0,0.0,0,0.0,0.31280162456376837,0.31280162456376837,0,0.0,1.1255398923201274,1.1255398923201274,0.0,0.0,0.19260959997867522,0.19260959997867522,0.0,0.0,62.520509714346304,62.520509714346304,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
